"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1,AE2","Antenna","~","RF_Antenna:Johanson_2450AT18x100","2",""
"C1","100n","~","","1",""
"J1","GPIO","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1",""
"J2","Bus_PCI_Express_Mini","~","Connector_PCBEdge:BUS_PCI_Express_Mini","1",""
"J3","Conn_01x04_Socket","~","Connector_PinSocket_1.27mm:PinSocket_1x04_P1.27mm_Vertical_SMD_Pin1Right","1",""
"J4,J5","Conn_01x10_Socket","~","-- mixed values --","2",""
"J6","Conn_01x15_Socket","~","Connector_PinSocket_1.27mm:PinSocket_1x15_P1.27mm_Vertical_SMD_Pin1Left","1",""
"J7","Conn_01x17_Socket","~","Connector_PinSocket_1.27mm:PinSocket_1x17_P1.27mm_Vertical_SMD_Pin1Left","1",""
"JP1","ID_WP","~","","1",""
"P1","USB_C_Plug_USB2.0","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Plug_Molex_105444","1",""
"R1,R2","3.9k","~","","2",""
"U1","CAT24C256","https://www.onsemi.cn/PowerSolutions/document/CAT24C256-D.PDF","","1",""
"U2","SAM-M8Q","https://www.u-blox.com/sites/default/files/SAM-M8Q_DataSheet_%28UBX-16012619%29.pdf","RF_GPS:ublox_SAM-M8Q","1",""
"U3","CH32V003FxPx","https://www.wch-ic.com/products/CH32V003.html","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1",""
"U4","SIM800C","http://simcom.ee/documents/SIM800C/SIM800C_Hardware_Design_V1.05.pdf","RF_GSM:SIMCom_SIM800C","1",""
"U5","HT-CT62","https://resource.heltec.cn/download/HT-CT62/HT-CT62(Rev1.1).pdf","RF_Module:Heltec_HT-CT62","1",""
